Unit,Parameter,Time,Value,Scenario
El_PV,fix_units_on,2019-01-08T21:00:00,0.0,Base
El_PV,fix_units_on,2019-01-08T22:00:00,0.0,Base
El_PV,fix_units_on,2019-01-08T23:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T00:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T01:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T02:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T03:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T04:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T05:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T06:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T07:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T08:00:00,0.095,Base
El_PV,fix_units_on,2019-01-09T09:00:00,0.279,Base
El_PV,fix_units_on,2019-01-09T10:00:00,0.396,Base
El_PV,fix_units_on,2019-01-09T11:00:00,0.425,Base
El_PV,fix_units_on,2019-01-09T12:00:00,0.364,Base
El_PV,fix_units_on,2019-01-09T13:00:00,0.207,Base
El_PV,fix_units_on,2019-01-09T14:00:00,0.044,Base
El_PV,fix_units_on,2019-01-09T15:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T16:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T17:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T18:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T19:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T20:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T21:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T22:00:00,0.0,Base
El_PV,fix_units_on,2019-01-09T23:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T00:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T01:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T02:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T03:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T04:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T05:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T06:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T07:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T08:00:00,0.01,Base
El_PV,fix_units_on,2019-01-10T09:00:00,0.039,Base
El_PV,fix_units_on,2019-01-10T10:00:00,0.046,Base
El_PV,fix_units_on,2019-01-10T11:00:00,0.039,Base
El_PV,fix_units_on,2019-01-10T12:00:00,0.023,Base
El_PV,fix_units_on,2019-01-10T13:00:00,0.011,Base
El_PV,fix_units_on,2019-01-10T14:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T15:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T16:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T17:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T18:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T19:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T20:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T21:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T22:00:00,0.0,Base
El_PV,fix_units_on,2019-01-10T23:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T00:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T01:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T02:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T03:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T04:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T05:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T06:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T07:00:00,0.0,Base
El_PV,fix_units_on,2019-01-11T08:00:00,0.037,Base
